,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,
Mgat1,289.3332475,1.11872164,0.250808226,4.451105144,8.54E-06,0.014504872,,
Sept2,841.7525738,-0.073187649,0.086993778,-8.375020546,5.52E-17,7.83E-13,,
B3gnt2,95.61365138,1.636592904,0.24383774,7.756298192,8.74E-15,3.10E-11,,
Cyp1a1,53.16131725,0.959417836,0.235973364,4.049380079,5.14E-05,0.048563278,,
Ugt1a7c,1383.154458,1.108651492,0.256519371,4.262680284,2.02E-05,0.023876832,,
Cebpg,978.2549608,-1.358629264,0.249930185,-5.635038968,1.75E-08,4.97E-05,,
Tle4,107.4005452,-1.013897757,0.254657331,-4.103614202,4.07E-05,0.044382195,,
Saa1,3205.419653,-1.001330964,0.25411254,-4.435100132,9.20E-06,0.014504872,,
Clock,747.4946935,-0.992370419,0.233889431,-4.285264231,1.83E-05,0.023876832,,
Oxsm,1046.856252,-1.024712979,0.244520882,-4.26470749,2.00E-05,0.023876832,,
Saa2,403.2223262,-0.861919583,0.248160628,-4.032864278,5.51E-05,0.048850575,,
Rnf146,1334.286112,-1.152256693,0.25219363,-5.555321625,2.77E-08,6.55E-05,,
Sfxn2,283.7602346,-1.165247627,0.243958141,-4.862261806,1.16E-06,0.002351711,,
Gm10874,149.9268161,-0.073142398,0.086969516,-7.91036489,2.57E-15,1.21E-11,,
Gm9747,100.2025848,0.1096772,0.086954952,8.085740812,6.18E-16,4.38E-12,,
Chd2,351.5271144,-0.797967772,0.195729987,-4.08137289,4.48E-05,0.04536207,,